Vehicle ID,Model Code,OEM Model,OEM Variant,Custom Model,Custom Variant,Display Name,Segment,Sub Segment,Colour Code,Colour,Fuel,Seating,Wheels,Transmission,Drivetrain,Body Make,Body Type,CC,GVW,Permit,Taxi Price,Status
5496,BM12AH515MB01D01QK,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5510,BM12AH515MB01D01RQ,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5527,BM12AH515MB01D01WQ,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5541,BM12AH515MB01D01WS,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,WS,EVEREST WHITE-SATIN,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5559,BM12AH515MB01D01XJ,BE6,BE 6 ONE ABOVE B59 R19 C7,BE6,ONE ABOVE B59 R19 C7,BE6 ONE ABOVE B59 R19 C7,BEV,,XJ,STEALTH BLACK,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5460,BM12AH515MB01D02JD,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5474,BM12AH515MB01D02OG,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5491,BM12AH515MB01D02QJ,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5506,BM12AH515MB01D02QK,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5523,BM12AH515MB01D02RQ,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5538,BM12AH515MB01D02WQ,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5553,BM12AH515MB01D02WS,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,WS,EVEREST WHITE-SATIN,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5571,BM12AH515MB01D02XJ,BE6,BE 6 ONE ABOVE B59 R19 NCH,BE6,ONE ABOVE B59 R19 NCH,BE6 ONE ABOVE B59 R19 NCH,BEV,,XJ,STEALTH BLACK,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5445,BM12AA515MB01D00JD,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5462,BM12AA515MB01D00OG,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5478,BM12AA515MB01D00QJ,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5494,BM12AA515MB01D00QK,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5511,BM12AA515MB01D00RQ,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5525,BM12AA515MB01D00WQ,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5543,BM12AA515MB01D00WS,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,WS,EVEREST WHITE-SATIN,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5557,BM12AA515MB01D00XJ,BE6,BE 6 ONE B59 R18 C11,BE6,ONE B59 R18 C11,BE6 ONE B59 R18 C11,BEV,,XJ,STEALTH BLACK,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5448,BM12AA515MB01D01JD,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5461,BM12AA515MB01D01OG,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5480,BM12AA515MB01D01QJ,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5493,BM12AA515MB01D01QK,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5512,BM12AA515MB01D01RQ,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5526,BM12AA515MB01D01WQ,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5542,BM12AA515MB01D01WS,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,WS,EVEREST WHITE-SATIN,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5558,BM12AA515MB01D01XJ,BE6,BE 6 ONE B59 R18 C7,BE6,ONE B59 R18 C7,BE6 ONE B59 R18 C7,BEV,,XJ,STEALTH BLACK,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5453,BM12AA515MB01D02JD,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,JD,DEEP FOREST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5466,BM12AA515MB01D02OG,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,OG,OG,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5484,BM12AA515MB01D02QJ,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,QJ,DESERT MYST,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5501,BM12AA515MB01D02QK,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,QK,GALAXY GREY,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5513,BM12AA515MB01D02RQ,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,RQ,TANGO RED,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
5530,BM12AA515MB01D02WQ,BE6,BE 6 ONE B59 R18 NCH,BE6,ONE B59 R18 NCH,BE6 ONE B59 R18 NCH,BEV,,WQ,EVEREST WHITE,ELECTRIC,5,4,AUTOMATIC,RWD,SUV,Complete,,0,PRIVATE,,Active
